trat,year,numero
P,y1,13
P,y1,12
P,y1,11
P,y1,11
P,y1,14
P,y1,14
P,y1,13
P,y1,13
P,y1,13
P,y2,12
P,y2,16
P,y2,9
P,y2,14
P,y2,15
P,y2,12
P,y2,12
P,y2,11
P,y2,13
P,y2,14
P,y2,12
P,y2,13
P,y2,12
d1,y1,15
d1,y1,12
d1,y1,11
d1,y1,11
d1,y1,14
d1,y1,13
d1,y1,14
d1,y1,14
d1,y1,12
d1,y2,9
d1,y2,12
d1,y2,11
d1,y2,15
d1,y2,11
d1,y2,10
d1,y2,13
d1,y2,11
d2,y1,15
d2,y1,12
d2,y1,13
d2,y1,14
d2,y1,11
d2,y1,14
d2,y1,17
d2,y1,15
d2,y2,15
d2,y2,13
d2,y2,17
d2,y2,14
d2,y2,14
d2,y2,13
d2,y2,13
d2,y2,13
d2,y2,9
d2,y2,12
d2,y2,15
d2,y2,14
