numero,Area,Año,Calif
569,1,93,2
570,1,93,1
589,1,93,3
590,1,93,2
592,1,93,5
593,1,93,1
601,1,93,4
602,1,93,4
611,1,93,1
613,1,93,3
618,1,93,4
619,1,93,6
620,1,93,2
636,1,93,3
638,1,93,3
639,1,93,1
653,1,93,6
655,1,93,1
656,1,93,6
657,1,93,1
659,1,93,8
681,1,93,1
569,1,94,2
570,1,94,1
589,1,94,1
590,1,94,1
592,1,94,4
593,1,94,1
601,1,94,3
602,1,94,4
611,1,94,1
613,1,94,2
618,1,94,2
619,1,94,5
620,1,94,1
636,1,94,3
638,1,94,2
639,1,94,1
653,1,94,7
655,1,94,1
656,1,94,3
657,1,94,1
659,1,94,5
681,1,94,2
569,1,95,2
570,1,95,1
589,1,95,2
590,1,95,1
592,1,95,3
593,1,95,1
601,1,95,3
602,1,95,4
611,1,95,2
613,1,95,2
618,1,95,3
619,1,95,4
620,1,95,2
636,1,95,4
638,1,95,1
639,1,95,2
653,1,95,6
655,1,95,1
656,1,95,3
657,1,95,1
659,1,95,6
681,1,95,1
569,1,96,2
570,1,96,1
589,1,96,2
590,1,96,3
592,1,96,4
593,1,96,2
601,1,96,4
602,1,96,4
611,1,96,3
613,1,96,2
618,1,96,3
619,1,96,4
620,1,96,2
636,1,96,2
638,1,96,3
639,1,96,1
653,1,96,5
655,1,96,1
656,1,96,3
657,1,96,2
659,1,96,4
681,1,96,1
547,2,93,8
570,2,93,1
589,2,93,3
590,2,93,2
592,2,93,5
593,2,93,1
601,2,93,4
602,2,93,4
611,2,93,1
613,2,93,3
618,2,93,4
619,2,93,6
620,2,93,2
636,2,93,3
638,2,93,3
639,2,93,1
653,2,93,6
655,2,93,1
656,2,93,6
657,2,93,1
659,2,93,8
681,2,93,1
633,2,93,3
547,2,94,4
570,2,94,1
589,2,94,1
590,2,94,1
592,2,94,4
593,2,94,1
601,2,94,3
602,2,94,4
611,2,94,1
613,2,94,2
618,2,94,2
619,2,94,5
620,2,94,1
636,2,94,3
638,2,94,2
639,2,94,1
653,2,94,7
655,2,94,1
656,2,94,3
657,2,94,1
659,2,94,5
681,2,94,2
633,2,94,4
547,2,95,4
570,2,95,1
589,2,95,2
590,2,95,1
592,2,95,3
593,2,95,1
601,2,95,3
602,2,95,4
611,2,95,2
613,2,95,2
618,2,95,3
619,2,95,4
620,2,95,2
636,2,95,4
638,2,95,1
639,2,95,2
653,2,95,6
655,2,95,1
656,2,95,3
657,2,95,1
659,2,95,6
681,2,95,1
633,2,95,3
547,2,96,5
570,2,96,1
589,2,96,2
590,2,96,3
592,2,96,4
593,2,96,2
601,2,96,4
602,2,96,4
611,2,96,3
613,2,96,2
618,2,96,3
619,2,96,4
620,2,96,2
636,2,96,2
638,2,96,3
639,2,96,1
653,2,96,5
655,2,96,1
656,2,96,3
657,2,96,2
659,2,96,4
681,2,96,1
633,2,96,3
646,3,93,2
570,3,93,1
589,3,93,3
590,3,93,2
592,3,93,5
593,3,93,1
601,3,93,4
602,3,93,4
611,3,93,1
613,3,93,3
618,3,93,4
619,3,93,6
620,3,93,2
636,3,93,3
638,3,93,3
639,3,93,1
653,3,93,6
655,3,93,1
656,3,93,6
657,3,93,1
659,3,93,8
681,3,93,1
633,3,93,3
733,3,93,4
735,3,93,4
736,3,93,3
737,3,93,6
646,3,94,3
570,3,94,1
589,3,94,1
590,3,94,1
592,3,94,4
593,3,94,1
601,3,94,3
602,3,94,4
611,3,94,1
613,3,94,2
618,3,94,2
619,3,94,5
620,3,94,1
636,3,94,3
638,3,94,2
639,3,94,1
653,3,94,7
655,3,94,1
656,3,94,3
657,3,94,1
659,3,94,5
681,3,94,2
633,3,94,4
733,3,94,4
735,3,94,4
736,3,94,3
737,3,94,5
646,3,95,2
570,3,95,1
589,3,95,2
590,3,95,1
592,3,95,3
593,3,95,1
601,3,95,3
602,3,95,4
611,3,95,2
613,3,95,2
618,3,95,3
619,3,95,4
620,3,95,2
636,3,95,4
638,3,95,1
639,3,95,2
653,3,95,6
655,3,95,1
656,3,95,3
657,3,95,1
659,3,95,6
681,3,95,1
633,3,95,3
733,3,95,5
735,3,95,4
736,3,95,2
737,3,95,5
646,3,96,1
570,3,96,1
589,3,96,2
590,3,96,3
592,3,96,4
593,3,96,2
601,3,96,4
602,3,96,4
611,3,96,3
613,3,96,2
618,3,96,3
619,3,96,4
620,3,96,2
636,3,96,2
638,3,96,3
639,3,96,1
653,3,96,5
655,3,96,1
656,3,96,3
657,3,96,2
659,3,96,4
681,3,96,1
633,3,96,3
733,3,96,4
735,3,96,2
736,3,96,1
737,3,96,4
