Sitio,Shannon,Simpson
1,0.8002853,0.4196597
2,0.9502705,0.56
3,1.0740922,0.6496
4,0.2586409,0.1093878
5,1.0356275,0.5181406
6,0.2873643,0.1264198
7,1.0861168,0.6303155
8,0.8046656,0.5223725
9,1.2585426,0.6337449
10,1.2798542,0.7
11,1.0506653,0.5185185
12,1.3667111,0.6942149
13,1.7494938,0.7645429
14,1.5186083,0.7448015
15,0.7595474,0.4297521
16,0.7595474,0.4297521
17,1.3564256,0.6944444
18,1.7270098,0.7755102
19,1.5229551,0.7654321
20,1.8751219,0.8209877
21,1.3535914,0.6796875
22,1.9258098,0.795858
23,0.995027,0.5925926
24,1.6398956,0.7846365
25,2.0374048,0.815
26,2.0125287,0.8288
