bac_tot,muestra,num_lab
44,1,1
42,2,1
180,3,1
200,4,1
190,5,1
200,6,1
190,7,1
48,8,1
54,9,1
33,10,1
57,11,1
55,12,1
44,13,1
53,14,1
60,15,1
127,16,1
3000,17,1
620,18,1
1300,19,1
170,20,1
170,21,1
45,1,2
40,2,2
190,3,2
210,4,2
180,5,2
190,6,2
190,7,2
49,8,2
54,9,2
32,10,2
56,11,2
53,12,2
43,13,2
51,14,2
59,15,2
120,16,2
3000,17,2
620,18,2
1200,19,2
170,20,2
170,21,2
120,1,3
99,2,3
480,3,3
480,4,3
470,5,3
390,6,3
410,7,3
120,8,3
130,9,3
70,10,3
140,11,3
130,12,3
98,13,3
120,14,3
140,15,3
320,16,3
7200,17,3
1500,18,3
2900,19,3
450,20,3
360,21,3
